Where,lat,lng
Minnesota Waseca,44.0770411,-93.50838429999999
Rhode Island North Smithfield,41.9667652,-71.5495071
Kentucky Paducah,37.0833893,-88.6000478
Florida York,29.1502535,-82.3000971
Oregon Portland,45.5051064,-122.6750261
Kentucky Independence,38.94311829999999,-84.54410899999999
Kentucky Van Lear,37.7712067,-82.75793709999999
California Monterey,36.6002378,-121.8946761
North Carolina Cary,35.79154,-78.7811169
Tennessee Crossville,35.9489566,-85.0269014
Wyoming Cheyenne,41.1399814,-104.8202462
Hawaii Kailua,21.4022222,-157.7394444
Florida Laurel,27.1303319,-82.453152
Washington Spokane,47.6587802,-117.4260465
Idaho Sandpoint,48.276577,-116.553465
Slovakia ,48.669026,19.699024
United Kingdom County Durham,54.7294099,-1.8811598
Massachusetts Abington,42.1048228,-70.9453218
Mississippi Shubuta,31.8601554,-88.69948509999999
Georgia Marietta,33.95260200000001,-84.5499327
Indiana Elkhart,41.6819935,-85.9766671
North Carolina Willow Spring,35.5956253,-78.73111039999999
Arizona Scottsdale,33.4941704,-111.9260519
Oklahoma Heavener,34.8955218,-94.6030084
Massachusetts Fairhaven,41.6376043,-70.90364869999999
Texas Huffman,30.0260425,-95.08426100000001
Texas Keller,32.9341893,-97.229298
Texas Seguin,29.5688411,-97.9647269
"United Kingdom Barking, Essex",51.536563,0.075766
Kansas Westmoreland,39.3938853,-96.4136137
Louisiana Richwood,32.4487568,-92.08485619999999
Virginia Norfolk,36.8507689,-76.28587259999999
"United Kingdom Shoreham-by-Sea, West Sussex",50.8342086,-0.2715558
Pennsylvania Quarryville,39.897047,-76.1635655
Oregon Philomath,44.540121,-123.3676014
Missouri Springfield,37.2089572,-93.29229889999999
Pennsylvania Carlisle,40.2010241,-77.20027449999999
California San Diego,32.715738,-117.1610838
Ohio Parma,41.4047742,-81.7229086
Pennsylvania Milton,41.0120296,-76.8477412
California Lompoc,34.6391501,-120.4579409
Oregon Aurora,45.2309536,-122.7559267
Georgia Woodstock,34.1014873,-84.5193754
New Jersey Ramsey,41.0573188,-74.1409771
Colorado Denver,39.7392358,-104.990251
Oklahoma Edmond,35.6528323,-97.47809540000002
North Carolina Franklin,35.1823171,-83.3815429
California Fontana,34.0922335,-117.435048
Poland Not reported,NAN,NAN
Connecticut New Fairfield,41.4660993,-73.48564610000001
Georgia Villa Rica,33.732052,-84.9191081
Arkansas Rosston,33.5926167,-93.27655800000001
New York Staten Island,40.5795317,-74.1502007
American Samoa Pago Pago,-14.2756319,-170.7020359
Missouri Humphreys,40.1255726,-93.31910119999999
California Santa Maria,34.9530337,-120.4357191
Virginia Orange,38.2454106,-78.1108342
Idaho Caldwell,43.66293839999999,-116.6873596
Texas Baytown,29.7355047,-94.97742740000001
Arkansas Little Rock,34.7464809,-92.28959479999999
Oregon Mill City,44.7540106,-122.4781385
California Red Bluff,40.1784886,-122.2358302
Tennessee Bartlett,35.2045328,-89.8739753
Virginia Newport News,37.0870821,-76.4730122
Georgia Stockbridge,33.5442781,-84.23380929999999
Colorado Colorado Springs,38.8338816,-104.8213634
Georgia Glennville,31.93659169999999,-81.92845009999999
Arizona Cornville,34.7177989,-111.9215438
Texas Port Arthur,29.8849504,-93.93994699999999
Ohio Waynesfield,40.6006056,-83.9752202
Arkansas Gentry,36.2675793,-94.4846601
Slovakia Turzovka,49.4033248,18.6249343
Alabama Birmingham,33.5185892,-86.8103567
Utah Clearfield,41.1107771,-112.0260538
Georgia Augusta,33.4734978,-82.0105148
New York Barton,42.042852,-76.4485514
Maine Topsham,43.9275435,-69.9759459
California Greenfield,36.3207998,-121.2438138
Australia Burnie,-41.0528583,145.9052168
Texas Burleson,32.5420821,-97.3208492
Washington Kennewick,46.2086683,-119.119948
South Carolina Beech Island,33.4273614,-81.8909472
Florida Hobe Sound,27.059498,-80.1364323
Florida Youngstown,30.3668657,-85.4382804
New York Evans Mills,44.0881158,-75.8071525
New York Warrick,41.2638494,-74.3822058
Italy Messina province,38.1937369,15.5542157
Oklahoma Panama,35.1673193,-94.67244649999999
Arizona Phoenix,33.4483771,-112.0740373
Delaware Dover,39.158168,-75.5243682
Virginia Moseley,37.4153723,-77.7058813
California Sacramento,38.5815719,-121.4943996
Louisiana Tickfaw,30.5774119,-90.4831456
Guam Mangilao,13.4702123,144.8456217
Guam Sinajana,13.4599535,144.7659223
Kansas Oakley,39.1270975,-100.8479688
California Hacienda Heights,33.9930677,-117.9686755
Massachusetts Dalton,42.4736959,-73.1662138
California Hesperia,34.4263886,-117.3008784
Utah Elk Ridge,40.0113439,-111.6768698
Oklahoma Lawton,34.6035669,-98.39592909999999
Oregon Bend,44.0581728,-121.3153096
New York Meridian,43.1656227,-76.5368855
Idaho Meridian,43.6121087,-116.3915131
New York Warwick,40.76247559999999,-73.978172
Colorado Parker,39.5186002,-104.7613633
Germany ,51.165691,10.451526
California Palmdale,34.5794343,-118.1164613
Oklahoma Stratford,34.7967497,-96.9594636
Texas San Antonio,29.4241219,-98.49362819999999
"United Kingdom Irvine, North Ayrshire",55.61156690000001,-4.6696364
United Kingdom Blackpool,53.8175053,-3.0356748
United Kingdom USA,37.09024,-95.712891
Virginia Woodbridge,38.6581722,-77.2497049
California Rancho Cordova,38.5890723,-121.302728
Kentucky Morehead,38.1839705,-83.4326841
Washington Selah,46.6540153,-120.5300666
Virginia Fairfax,38.84622359999999,-77.30637329999999
South Carolina Easley,34.829838,-82.6015206
Pennsylvania Tafford,40.21284190000001,-75.229951
"Pennsylvania Mohnton, Berks County,",40.2859255,-75.98438039999999
Tennessee Oak Ridge,36.0103561,-84.26964490000002
Puerto Rico Juncos,18.2274558,-65.92099700000001
California San Jose,37.3382082,-121.8863286
Florida Tampa,27.950575,-82.4571776
Kentucky Philpot,37.7331055,-86.9888828
United Kingdom Wythenshawe,53.401455,-2.2712861
Indiana Indianapolis,39.768403,-86.158068
California Hayward,37.6687665,-122.0809964
Arizona Peoria,33.5805955,-112.2373779
North Carolina Greensboro,36.0726354,-79.7919754
Florida Dunedin,28.0197404,-82.7717684
Florida Naples,26.1420358,-81.7948103
Maryland Eldersburg,39.40371469999999,-76.9502567
Louisiana Franklin,29.7960399,-91.5015002
Iowa Estherville,43.4013478,-94.8391532
Connecticut Madison,41.2959908,-72.5754149
Louisiana Bossier City,32.5159852,-93.7321228
Arizona Kayenta,36.72777689999999,-110.2545767
Michigan Plainwell,42.4400357,-85.6489035
Virginia Hampton,37.0298687,-76.34522179999999
United Kingdom Cumbria,54.5772323,-2.7974835
Virginia Chester,37.3568157,-77.4416505
United Kingdom Leeds,53.8007554,-1.5490774
Denmark Aalborg,57.0488195,9.921747
Florida Citra,29.41191659999999,-82.10981559999999
Texas The Colony,33.0806083,-96.89283089999999
Pennsylvania Pottstown,40.2453741,-75.6496302
North Carolina Spring Lake,35.1679395,-78.97280560000002
New York Baldwin,40.6686336,-73.6119129
Texas Austin,30.267153,-97.7430608
Louisiana Pearl River,30.3760264,-89.7483972
New York Rochester,43.15657789999999,-77.6088465
Ohio New Carlisle,39.9361699,-84.0254913
Pennsylvania Monroeville,40.4211798,-79.7881024
North Dakota Bismarck,46.8083268,-100.7837392
Montana Sidney,47.7166836,-104.1563253
New York Mechanicville,42.9028547,-73.68734049999999
New Jersey Island Heights,39.9420626,-74.1498616
California Arcata,40.8665166,-124.0828396
Michigan Grand Rapids,42.9633599,-85.6680863
Minnesota Jordan,44.6711949,-93.6294286
Arkansas Booneville,35.140093,-93.92159090000001
South Carolina Greer,34.9387279,-82.2270568
North Carolina Rocky Mount,35.9382103,-77.7905339
United Kingdom Glasgow,55.864237,-4.251806
California Glendora,34.1361187,-117.865339
Oregon Gardiner,43.7302934,-124.110418
California Running Springs,34.2077859,-117.1092049
Iowa Shenandoah,40.7667389,-95.3761506
New York Alden,40.7539455,-73.9786215
New York Campbell,40.752606,-73.97781499999999
New York Port Henry,44.0483884,-73.45984729999999
New Jersey Gillette,40.6741134,-74.4666778
New York Richfield Springs,42.8534057,-74.9854335
United Kingdom Pokhara,28.2066791,83.9600736
United Kingdom Peterborough,52.56949849999999,-0.2405299
California Murrieta,33.5539143,-117.2139232
"United Kingdom Havant, Hampshire",50.8518324,-0.9847131999999998
"United Kingdom Newtownards, County Down",54.5913787,-5.693170299999999
Florida Orange Park,30.1660736,-81.706484
Australia Barossa Valley,-34.5333333,138.95
Idaho Kuna,43.4918307,-116.4201223
Virginia Clarksville,36.6240297,-78.55694489999999
Florida St. Petersburg,27.7676008,-82.64029149999999
Arizona Sierra Vista,31.5455001,-110.2772856
United States Manila,14.5771562,120.9776688
California Long Beach,33.7700504,-118.1937395
North Carolina Aberdeen,35.131547,-79.42947889999999
Florida Coral Springs,26.271192,-80.2706044
Texas Dallas,32.7766642,-96.79698789999999
Maine Houlton,46.1261806,-67.8402316
North Carolina Maysville,34.9048814,-77.23134360000002
North Carolina Williamston,35.8546039,-77.0555114
North Carolina Raeford,34.9809995,-79.2241997
New Jersey Liverpool,40.0407063,-74.9346438
Texas Tolar,32.3890274,-97.92058999999999
New Jersey Lakehurst,40.014561,-74.3112574
Illinois North Chicago,42.325578,-87.8411818
"United Kingdom Nuneaton, Warwickshire",52.520489,-1.465382
United Kingdom Tunbridge,51.132377,0.263695
Arkansas Cabot,34.974532,-92.0165336
Oklahoma Claremore,36.3125963,-95.61609
Texas Amarillo,35.2219971,-101.8312969
North Carolina Greenville,35.612661,-77.3663538
Hawaii Honolulu,21.3069444,-157.8583333
Indiana Kokomo,40.486427,-86.13360329999999
Pennsylvania Huntingdon,40.48479589999999,-78.0102813
United Kingdom Huddersfield,53.645792,-1.7850351
"United Kingdom South Craven School, Skipton",53.899701,-1.9888691
United Kingdom Suva City,-18.1459802,178.426029
Indiana Lafayette,40.4167022,-86.87528689999999
"United Kingdom Doncaster, South Yorkshire",53.52282,-1.128462
United Kingdom Bristol,51.454513,-2.58791
Indiana Dubois,38.4453945,-86.8041574
New York Oswego,43.4553461,-76.5104973
Virginia Petersburg,37.2279279,-77.40192669999999
Texas Mesquite,29.9802937,-95.7174531
Australia ,-25.274398,133.775136
Australia Canberra,-35.2809368,149.1300092
Australia Penrith,-33.75,150.7
Australia Wee Waa,-30.2265736,149.4454667
Australia Carnarvon,-24.8877473,113.6621827
Michigan Corunna,42.98197280000001,-84.117745
Colorado Windsor,40.4774818,-104.9013617
Oregon Baker City,44.7748748,-117.8343848
Virginia Alexandria,38.8048355,-77.0469214
Mississippi Greenwood,33.5162315,-90.1795281
Ohio Oberlin,41.2939386,-82.21737859999999
New Zealand ,-40.900557,174.885971
Maryland Frederick,39.41426879999999,-77.4105409
Mississippi State Line,31.4362794,-88.4744659
North Carolina Grover,35.1745756,-81.4498097
United Kingdom West Bromwich,52.517664,-1.995159
Virginia Lynch Station,37.1462543,-79.3008574
California North Adams,38.4548457,-121.8234073
California Cathedral City,33.7805388,-116.4668036
Washington Des Moines,47.4017661,-122.3242901
Maryland Edgewater,38.94056399999999,-76.5629398
California Kelseyville,38.9779531,-122.8394375
Puerto Rico San Juan,18.4655394,-66.1057355
Michigan Kentwood,42.8694731,-85.64474919999999
Pennsylvania Evans City,40.7692321,-80.062838
California Los Altos,37.3852183,-122.1141298
California El Dorado,38.74263759999999,-120.4357631
Virginia Herndon,38.9695545,-77.3860976
United Kingdom Guildford,51.23622,-0.570409
United Kingdom Hong Kong (Aldershot),51.248366,-0.7557509
California Ventura,34.2804923,-119.2945199
New Jersey Oceanside,39.2776156,-74.5746001
Wyoming Griffin,41.601237,-109.2288631
New York West Point,41.3914827,-73.95597210000001
Georgia Conyers,33.6676103,-84.01769039999999
Massachusetts Norton,41.9667703,-71.1869963
Idaho Lewiston,46.4004089,-117.001189
Texas Weatherford,32.7592955,-97.7972544
North Carolina Hubert,34.7137729,-77.2452328
New Zealand Auckland,-36.8484597,174.7633315
Texas Tyler,32.3512601,-95.30106239999999
Florida Largo,27.9094665,-82.7873244
California Covina,34.0900091,-117.8903397
Michigan Fraser,42.539202,-82.9493652
California San Bernardino,34.1083449,-117.2897652
Florida Palm Bay,28.0344621,-80.5886646
Michigan Holland,42.7875235,-86.1089301
Ohio Lebanon,39.4353373,-84.2029922
California La Verne,34.1008426,-117.7678355
California Turlock,37.4946568,-120.8465941
California Redding,40.5865396,-122.3916754
Michigan Traverse City,44.7630567,-85.62063169999999
South Carolina Lyman,34.9481741,-82.12733120000001
Florida Chuluota,28.6418949,-81.12365439999999
Arizona Scotts,33.5086766,-111.9247947
Florida Tamarac,26.2128609,-80.2497707
North Carolina Raleigh,35.7795897,-78.6381787
Ohio Troy,40.0394982,-84.20327669999999
California Rancho Cucamonga,34.10639889999999,-117.5931084
Puerto Rico San Lorenzo,18.189402,-65.9609971
Indiana Berne,40.6578242,-84.9519115
Indiana Crown Point,41.4169806,-87.3653135
Kansas Independence,37.2242358,-95.7083131
Arizona Lake Havasu City,34.483901,-114.3224548
Illinois Rockford,42.2711311,-89.0939952
Missouri Columbia,38.9517053,-92.3340724
New Jersey Kinnelon,41.0017644,-74.367096
Georgia Eatonton,33.3267997,-83.3884961
Florida Brooksville,28.5552719,-82.3878709
Pennsylvania Spring Grove,39.8745436,-76.8658078
California Porterville,36.06523,-119.0167679
Florida Oviedo,28.669997,-81.20812029999999
North Carolina Hope Mills,34.9704419,-78.9453056
New Jersey Union City,40.7795455,-74.02375119999999
Idaho Preston,42.0963133,-111.8766173
United Kingdom Herefordshire,52.0765164,-2.6544182
United Kingdom Cardiff,51.48158100000001,-3.17909
Alabama Cullman,34.1748208,-86.8436124
Michigan Ferndale,42.4605917,-83.1346478
Italy ,41.87194,12.56738
Ohio Hamilton,39.3995008,-84.5613355
Arkansas White Hall,34.2739862,-92.09097659999999
Indiana Norman,38.9525511,-86.2749872
Virginia Arlington,38.8816208,-77.09098089999999
New York Monroe,41.3046016,-74.1827119
Maryland Laurel,39.0992752,-76.8483061
Florida Tallahassee,30.4382559,-84.28073289999999
South Carolina Lexington,33.9815369,-81.2362107
South Carolina Travelers Rest,34.9676167,-82.4434548
South Carolina Columbia,34.0007104,-81.0348144
California Gustine,37.2577171,-120.9988154
United Kingdom Norwich,52.6308859,1.297355
Michigan Flint,43.0125274,-83.6874562
"United Kingdom Kettering, Northamptonshire",52.396322,-0.7302489999999999
Arizona Chino Valley,34.7575227,-112.4537809
Illinois Lawrenceville,38.7292137,-87.6816927
Illinois New Windsor,41.20214319999999,-90.4432927
California Yucaipa,34.033625,-117.0430865
France Picardy,49.66361269999999,2.5280732
France ,46.227638,2.213749
California Moreno Valley,33.9424658,-117.2296717
Florida Gulfport,27.7483613,-82.7034334
Georgia Luthersville,33.2101205,-84.7443765
California Brawley,32.9786566,-115.530267
Washington Wala Wala,46.0645809,-118.3430208
United States Tokyo,35.6803997,139.7690174
"United Kingdom Hull, Yorkshire",53.76762360000001,-0.3274198
Florida Miami,25.7616798,-80.1917902
"United Kingdom Swindon, Wiltshire",51.55577390000001,-1.7797176
Indiana ,40.2671941,-86.1349019
Georgia Dawsonville,34.4212052,-84.1190804
Indiana Covington,40.1417045,-87.3947357
Ohio Fairfield,39.3454673,-84.5603187
Maine Dover-Foxcroft,45.1833421,-69.22708209999999
Virginia Springfield,38.7892801,-77.18720359999999
California Wilmington,33.7857948,-118.2643567
New Jersey Jersey City,40.7177545,-74.0431435
Georgia Leesburg,31.7321156,-84.1707423
Oklahoma Shawnee,35.3272928,-96.9253004
California Salinas,36.6777372,-121.6555013
Texas El Paso,31.7618778,-106.4850217
Oregon Boring,45.4313662,-122.3734641
Kansas Overland Park,38.9822282,-94.6707917
Indiana Terre Haute,39.4667034,-87.41390919999999
Virginia Prince George,37.2220383,-77.2856305
California Shasta,40.598119,-122.4907566
Illinois Wheaton,41.8661403,-88.1070127
Indiana Fort Wayne,41.079273,-85.1393513
California Lucerne Valley,34.4437599,-116.9676823
Missouri Rolla,37.948544,-91.7715303
New Mexico Las Cruces,32.3199396,-106.7636538
Texas Round Rock,30.5082551,-97.678896
United Kingdom Hannover,51.5116279,-0.0842743
United Kingdom Carmarthen,51.85762,-4.312131
Arizona Yuma,32.6926512,-114.6276916
Texas Normangee,31.0296309,-96.11468049999999
Tennessee Clarksville,36.5297706,-87.3594528
California Chico,39.7284944,-121.8374777
Kentucky Jeffersonville,37.9736917,-83.8418631
Ohio West Chester,39.3321262,-84.41726659999999
California Alameda,37.7798721,-122.2821855
United Kingdom Middlesbrough,54.574227,-1.234956
Arkansas Warren,33.6126086,-92.064583
Ohio Stow,41.1595005,-81.44038979999999
North Carolina Charlotte,35.2270869,-80.8431267
New York Spencerport,43.18645009999999,-77.8038972
Minnesota Rochester,44.0121221,-92.4801989
California Anaheim,33.8365932,-117.9143012
Mississippi Gautier,30.385755,-88.6116854
"United Kingdom Worthing, Sussex",50.81787,-0.372882
North Carolina Candler,35.5360973,-82.69273629999999
New York Pittsford,43.0789942,-77.5275463
Tennessee Franklin,35.9250637,-86.8688899
Wisconsin Orfordville,42.6275093,-89.2531707
California Huntington,33.6594835,-117.9988026
California West Sacramento,38.5804609,-121.530234
Florida Boynton Beach,26.5317866,-80.0905465
Georgia Cobb,33.8999297,-84.56414699999999
Texas Mason,30.6556091,-99.2785583
Idaho Boise,43.6150186,-116.2023137
Hawaii Waipahu,21.3866667,-158.0091667
Illinois Pekin,40.5675388,-89.640658
United Kingdom Newport,51.584151,-2.997664
Pennsylvania Lock Haven,41.1370133,-77.4469263
Indiana Dyer,41.4942021,-87.52170679999999
Kentucky Louisville,38.2526647,-85.7584557
Texas Yantis,32.9303985,-95.5749558
Rhode Island Providence,41.8239891,-71.4128343
Washington Tacoma,47.2528768,-122.4442906
"United Kingdom Bolton, Greater Manchester",53.57686469999999,-2.4282192
Virginia Virginia Beach,36.8529263,-75.97798499999999
Montana Great Falls,47.5052849,-111.3007715
Ohio Dublin,40.0992294,-83.1140771
New Zealand Tuakau,-37.2701927,174.9438539
United States Ithaca,42.4439614,-76.5018807
Missouri Licking,37.4994884,-91.8570984
Missouri Catawissa,38.4247751,-90.78263229999999
Oklahoma Checotah,35.4700993,-95.5230356
California Harbor City,33.7906551,-118.2965084
California Lake Elsinore,33.6680772,-117.3272615
Kentucky Dixon,37.5178218,-87.69028860000002
California Vacaville,38.3565773,-121.9877444
New Jersey Waldwick,41.0106528,-74.1179203
New York Getzville,43.0232669,-78.76814120000002
United Kingdom Bournemouth,50.719164,-1.880769
"United Kingdom Burnley, Lancashire",53.7892877,-2.2405035
Louisiana Vinton,30.1907628,-93.5812717
Idaho Jerome,42.7240732,-114.5186534
United Kingdom Wolverhampton,52.586973,-2.12882
Indiana Frankfort,40.2794809,-86.5108355
Turkey ,38.963745,35.243322
Florida Marianna,30.7743596,-85.2268735
Wisconsin Hazel Green,42.5327799,-90.43457219999999
United Kingdom Lytham St Annes,53.756629,-3.0213193
United Kingdom Dewsbury,53.689833,-1.6296949
"United Kingdom Huddersfield, West Yorkshire",53.645792,-1.7850351
United Kingdom Bradford,53.795984,-1.759398
"United Kingdom Warrington, Cheshire",53.3900441,-2.5969501
Texas Marble Falls,30.5782297,-98.2729184
Virginia Roanoke,37.2709704,-79.9414266
Florida Niceville,30.5168639,-86.48217199999999
Oklahoma Noble,35.1392357,-97.394753
Italy Messina,38.1937335,15.5542057
Italy Palermo,38.11569,13.3614868
Italy Gagliano del Capo,39.8482008,18.3705542
Albania Baldushk,41.2020259,19.803187
Georgia Newnan,33.3806716,-84.79965729999999
Maryland Upper Marlboro,38.8159473,-76.74969089999999
Georgia Columbus,32.4609764,-84.9877094
Arkansas Russellville,35.2784173,-93.1337856
Arizona Maricopa,33.0581063,-112.0476423
United Kingdom Hemel Hempstead,51.753241,-0.448632
New Jersey North Arlington,40.788434,-74.1331988
Mississippi Tupelo,34.2576066,-88.7033859
Mississippi Greenville,33.399661,-91.0377029
United Kingdom Majthana,NAN,NAN
Wisconsin Horicon,43.4513836,-88.63121389999999
"United Kingdom Runcorn, Cheshire",53.342078,-2.729673
Illinois Equality,37.733936,-88.34337599999999
California Temecula,33.4936391,-117.1483648
France Douai,50.367874,3.080602
France Strasbourg,48.5734053,7.752111299999999
France Echirolles,45.142151,5.718033999999999
Texas Willis,30.4249276,-95.47994179999999
Illinois Crystal Lake,42.2411344,-88.31619649999999
Maryland North Beach,38.70734059999999,-76.5310669
Washington Ferndale,48.8464991,-122.5910056
United States ,37.09024,-95.712891
Iowa Centerville,40.7290565,-92.8738196
Massachusetts Brockton,42.0834335,-71.0183787
Arizona Glendale,33.5386523,-112.1859866
Oklahoma Tulsa,36.1539816,-95.99277500000001
Idaho Wilder,43.6765485,-116.9118157
Italy Alghero,40.5579517,8.319294900000001
Virginia Hopewell,37.3043154,-77.28720009999999
Kentucky London,37.1289771,-84.08326459999999
Illinois Aurora,41.7605849,-88.32007150000001
Indiana Hamlet,41.3781614,-86.5829699
Indiana Merrillville,41.4828144,-87.33281389999999
Maryland Westminster,39.5753791,-76.9958149
Pennsylvania Erie,42.12922409999999,-80.085059
"United Kingdom Rajghat, Morang",26.6238714,87.6285099
California Cottonwood,40.3857087,-122.2808355
New Mexico Espanola,35.9910383,-106.0818233
United Kingdom Darlington,54.52361,-1.559458
France Saint-Claude,46.387405,5.867765899999999
Texas McAllen,26.2034071,-98.23001239999999
Wisconsin Marshfield,44.6688524,-90.1717987
"United Kingdom Deal, Kent",51.222491,1.401661
Washington Longview,46.1381676,-122.9381672
Florida Virginia Beach,25.7345449,-80.15699099999999
Florida Apopka,28.6934076,-81.5322149
California New Cuyama,34.94446,-119.6871779
